"","Date","HomeTeam","AwayTeam","FTHG","FTAG"
"126","23/11/2025","Oviedo","Vallecano",0,0
"127","23/11/2025","Betis","Girona",1,1
"128","23/11/2025","Getafe","Ath Madrid",0,1
"129","23/11/2025","Elche","Real Madrid",2,2
"130","24/11/2025","Espanol","Sevilla",2,1
"131","28/11/2025","Getafe","Elche",1,0
"132","29/11/2025","Mallorca","Osasuna",2,2
"133","29/11/2025","Barcelona","Alaves",3,1
"134","29/11/2025","Levante","Ath Bilbao",0,2
"135","29/11/2025","Ath Madrid","Oviedo",2,0
"136","30/11/2025","Sociedad","Villarreal",2,3
"137","30/11/2025","Sevilla","Betis",0,2
"138","30/11/2025","Celta","Espanol",0,1
"139","30/11/2025","Girona","Real Madrid",1,1
"140","01/12/2025","Vallecano","Valencia",1,1
"141","02/12/2025","Barcelona","Ath Madrid",3,1
"142","03/12/2025","Ath Bilbao","Real Madrid",0,3
"143","05/12/2025","Oviedo","Mallorca",0,0
"144","06/12/2025","Villarreal","Getafe",2,0
"145","06/12/2025","Alaves","Sociedad",1,0
"146","06/12/2025","Betis","Barcelona",3,5
"147","06/12/2025","Ath Bilbao","Ath Madrid",1,0
"148","07/12/2025","Elche","Girona",3,0
"149","07/12/2025","Valencia","Sevilla",1,1
"150","07/12/2025","Espanol","Vallecano",1,0
"151","07/12/2025","Real Madrid","Celta",0,2
"152","08/12/2025","Osasuna","Levante",2,0
"153","12/12/2025","Sociedad","Girona",1,2
"154","13/12/2025","Ath Madrid","Valencia",2,1
"155","13/12/2025","Mallorca","Elche",3,1
"156","13/12/2025","Barcelona","Osasuna",2,0
"157","13/12/2025","Getafe","Espanol",0,1
"158","14/12/2025","Sevilla","Oviedo",4,0
"159","14/12/2025","Celta","Ath Bilbao",2,0
"160","14/12/2025","Alaves","Real Madrid",1,2
"161","15/12/2025","Vallecano","Betis",0,0
"162","19/12/2025","Valencia","Mallorca",1,1
"163","20/12/2025","Oviedo","Celta",0,0
"164","20/12/2025","Levante","Sociedad",1,1
"165","20/12/2025","Osasuna","Alaves",3,0
"166","20/12/2025","Real Madrid","Sevilla",2,0
"167","21/12/2025","Girona","Ath Madrid",0,3
"168","21/12/2025","Villarreal","Barcelona",0,2
"169","21/12/2025","Elche","Vallecano",4,0
"170","21/12/2025","Betis","Getafe",4,0
"171","22/12/2025","Ath Bilbao","Espanol",1,2
"172","02/01/2026","Vallecano","Getafe",1,1
"173","03/01/2026","Celta","Valencia",4,1
"174","03/01/2026","Osasuna","Ath Bilbao",1,1
"175","03/01/2026","Elche","Villarreal",1,3
"176","03/01/2026","Espanol","Barcelona",0,2
"177","04/01/2026","Sevilla","Levante",0,3
"178","04/01/2026","Real Madrid","Betis",5,1
"179","04/01/2026","Alaves","Oviedo",1,1
"180","04/01/2026","Mallorca","Girona",1,2
"181","04/01/2026","Sociedad","Ath Madrid",1,1
"182","09/01/2026","Getafe","Sociedad",1,2
"183","10/01/2026","Oviedo","Betis",1,1
"184","10/01/2026","Villarreal","Alaves",3,1
"185","10/01/2026","Girona","Osasuna",1,0
"186","10/01/2026","Valencia","Elche",1,1
"187","11/01/2026","Vallecano","Mallorca",2,1
"188","11/01/2026","Levante","Espanol",1,1
"189","12/01/2026","Sevilla","Celta",0,1
"190","16/01/2026","Espanol","Girona",0,2
"191","17/01/2026","Real Madrid","Levante",2,0
"192","17/01/2026","Mallorca","Ath Bilbao",3,2
"193","17/01/2026","Osasuna","Oviedo",3,2
"194","17/01/2026","Betis","Villarreal",2,0
"195","18/01/2026","Getafe","Valencia",0,1
